question_id,wrong_ans,correct_ans,question,explanation
10," ""가관이였다"""," ""가관이었다"""," ""그의 발표 내용이 참 [가관이었다].""", '가관이다'는 '꼴이 볼 만하다'라는 뜻입니다. 따라서 이 말은 형용사로 분류됩니다. 형용사는 기본형에 어미 '-다' 대신 '-었-'을 결합하여 과거 시제를 나타냅니다.
11," ""가까와지고"""," ""가까워지고"""," ""우리는 점점 [가까워지고] 있는 것 같아."""," '가까워지다'는 동사로 쓰이며, '거리가 점점 줄어 들다'라는 뜻이다."
12," ""가능한"""," ""가능한 한"""," ""[가능한 한] 빨리 도착하도록 해.""", '가능한'은 관형어로 뒤에 오는 체언인 명사나 대명사 등을 수식하는 역할을 합니다. 따라서 그 뒤에는 부사가 와야 하는데요. 이때는 '가능한 한'과 같이 띄어 써야 합니다.
13," ""가능한"""," ""가능한 한"""," ""[가능한 한] 빨리 답변 주세요.""", '가능한'은 관형어로 뒤에 오는 체언인 명사나 대명사 등을 수식하는 역할을 합니다. 따라서 그 뒤에는 부사가 와야 하는데요. 이때는 '가능한 한'과 같이 띄어 써야 합니다.
14," ""가능한"""," ""가능한 한"""," ""[가능한 한] 모든 방법을 찾아보자.""", '가능한'은 관형어로 뒤에 오는 체언인 명사나 대명사 등을 수식하는 역할을 합니다. 따라서 그 뒤에는 부사가 와야 하는데요. 이때는 '가능한 한'과 같이 띄어 써야 합니다.
15," ""가르키고"""," ""가리키고"""," ""그녀는 손가락으로 저쪽을 [가리키고] 있었다."""," '가리키다'는 손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다는 뜻이고, '가르치다'는 지식이나 기능, 이치 따위를 깨닫거나 익히게 하다는 뜻이다."
16," ""가르키고"""," ""가리키고"""," ""그는 항상 올바른 길을 [가리키고] 있었다."""," '가리키다'는 손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다는 뜻이고, '가르치다'는 지식이나 기능, 이치 따위를 깨닫거나 익히게 하다는 뜻이다."
17," ""가르키며"""," ""가리키며"""," ""지도를 [가리키며] 설명해 주세요."""," '가리키다'는 손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다는 뜻이고, '가르치다'는 지식이나 기능, 이치 따위를 깨닫거나 익히게 하다는 뜻이다."
18," ""가벼히"""," ""가벼이"""," ""가벼운 마음으로 [가벼이] 시작해 보자."""," 부사 '가벼이'는 '가볍다'에서 파생된 말로, '가볍게'와 같은 뜻이다."
19," ""가벼히"""," ""가벼이"""," ""책임을 [가벼이] 여기지 말고 신중히 행동해라."""," 부사 '가벼이'는 '가볍다'에서 파생된 말로, '가볍게'와 같은 뜻이다."
20," ""가벼히"""," ""가벼이"""," ""바람에 흔들리는 꽃잎이 [가벼이] 춤추고 있었다."""," 부사 '가벼이'는 '가볍다'에서 파생된 말로, '가볍게'와 같은 뜻이다."
21," ""가파라서"""," ""가팔라서"""," ""산이 [가팔라서] 오르기 힘들었어.""", ‘가파르다’는 형용사로 모음 어미와 결합할 때 어간 끝음절인 ‘르’가 ‘??’로 바뀐다. 따라서 ‘가파라서’가 아니라 ‘가팔라서’라고 해야 한다.
22," ""가파라서"""," ""가팔라서"""," ""도로가 [가팔라서] 차가 쉽게 미끄러졌다.""", ‘가파르다’는 형용사로 모음 어미와 결합할 때 어간 끝음절인 ‘르’가 ‘??’로 바뀐다. 따라서 ‘가파라서’가 아니라 ‘가팔라서’라고 해야 한다.
23," ""간지르고"""," ""간질이고"""," ""그녀는 그의 코를 [간질이고] 있었다.""", '간지르다'는 표준어가 아니다.
24," ""간지르는"""," ""간질이는"""," ""그녀는 [간질이는] 걸 좋아한다.""", '간지르다'는 표준어가 아니다.
25," ""간지르는"""," ""간질이는"""," ""아이들은 [간질이는] 놀이를 했다.""", '간지르다'는 표준어가 아니다.
26," ""간지르는"""," ""간질이는"""," ""강아지가 다른 강아지를 [간질이는] 것을 봤어.""", '간지르다'는 표준어가 아니다.
27," ""간지르는"""," ""간질이는"""," ""[간질이는] 손길에 아기가 깔깔 웃었다.""", '간지르다'는 표준어가 아니다.
28," ""간지르는"""," ""간질이는"""," ""그 장난감은 [간질이는] 기능이 있다.""", '간지르다'는 표준어가 아니다.
29," ""간지르다가"""," ""간질이다가"""," ""손가락으로 강아지의 배를 [간질이다가] 웃겼다."""," '간질이다'는 '간지럽히다'와 같은 뜻이며, '-지 말다' 구성은 띄어 써야 한다."
30," ""간지르며"""," ""간질이며"""," ""그는 그녀의 등을 [간질이며] 장난쳤다."""," '간질이다'는 '간지럽히다'와 같은 뜻이며, '-지 말다' 구성은 띄어 써야 한다."
31," ""갈가리"""," ""갈갈이"""," ""농부들은 쌓아둔 건초를 [갈갈이] 찢어지게 했다.""", ‘갈가리’는 ‘여러 가닥으로 갈라지거나 찢어진 모양’을 뜻하는 부사이다.
32," ""갈께요"""," ""갈게요"""," ""내일 비가 오면 같이 [갈게요].""", '-?게'는 받침 없는 동사 어간이나 '?' 받침인 동사 어간 뒤에 붙어 어떤 행동을 할 것을 약속하는 뜻을 나타내는 종결 어미입니다. 따라서 '갈게요'로 써야 합니다.
33," ""개구장이"""," ""개구쟁이"""," ""지금 민수는 [개구쟁이] 같아."""," ‘개구쟁이’는 어린아이가 하는 미운 짓이나 장난을 많이 하는 사람을 뜻하는 말로, 접미사 ‘-장이’와 혼동하기 쉽다."
34," ""개구장이"""," ""개구쟁이"""," ""어제 보니까 철수는 완전 [개구쟁이]네."""," ‘개구쟁이’는 어린아이가 하는 미운 짓이나 장난을 많이 하는 사람을 뜻하는 말로, 접미사 ‘-장이’와 혼동하기 쉽다."
35," ""개구장이"""," ""개구쟁이"""," ""소영이는 너무 [개구쟁이] 같아서 통제가 안 돼."""," ‘개구쟁이’는 어린아이가 하는 미운 짓이나 장난을 많이 하는 사람을 뜻하는 말로, 접미사 ‘-장이’와 혼동하기 쉽다."
36," ""갯수"""," ""개수"""," ""이번 달에 구입한 물건의 [개수]를 정리해 보자."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
37," ""갯수"""," ""개수"""," ""이 상자 안에는 몇 가지의 여러 가지가 있는지 [개수]를 세어 봅시다."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
38," ""갯수"""," ""개수"""," ""프로젝트에서 사용된 파일들의 [개수]를 체크해 주세요."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
39," ""갯수"""," ""개수"""," ""문서의 페이지 [개수]를 확인해 주세요."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
40," ""갯수"""," ""개수"""," ""아이들에게 필요한 물건 [개수]를 세어보세요."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
41," ""갯수"""," ""개수"""," ""필요한 자료 [개수]를 저에게 알려주세요."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
42," ""갯수"""," ""개수"""," ""수업 시간에 나눠줄 자료 [개수]를 미리 인쇄해주세요."""," '개수'는 한자어와 고유어가 결합한 합성어로, 사이시옷이 들어가 '개수'로 표기한다."
43," ""거에요"""," ""거예요"""," ""그게 맞는 [거예요]?"""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
44," ""거에요"""," ""거예요"""," ""이게 정말 가능한 [거예요]?"""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
45," ""거에요"""," ""거예요"""," ""저녁은 함께 먹자는 [거예요]?"""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
46," ""거에요"""," ""거예요"""," ""내일 시험 볼 [거예요]."""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
47," ""거에요"""," ""거예요"""," ""그럴 수 있는 [거예요]?"""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
48," ""거에요"""," ""거예요"""," ""정말 그럴 [거예요]?"""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
49," ""거에요"""," ""거예요"""," ""이게 바로 우리가 원하는 [거예요]."""," '거'는 '것'을 구어적으로 이르는 말이고, '-이다'가 줄어든 형태인 '-다' 뒤에 어미 '-에요'가 붙은 '-이에요'의 준말은 '예요'입니다. 따라서 '거+이+에요'로 이루어진 '거이에요' 또는 '거예요'와 같이 적습니다."
50," ""거치장스러운"""," ""거추장스러운"""," ""방이 너무 좁아서 [거추장스러운] 물건들이 많아.""", '거추장스럽다'는 '일이나 물건 따위가 성가시고 귀찮다'라는 뜻이다.
51," ""거치장스럽고"""," ""거추장스럽고"""," ""이 옷은 [거추장스럽고] 불편해.""", '거추장스럽다'는 '일이나 물건 따위가 성가시고 귀찮다'라는 뜻이다.
52," ""건데기"""," ""건더기"""," ""된장국은 [건더기]가 많아서 좋아.""", '건데기'는 '건더기'의 잘못된 말이다.
53," ""건데기"""," ""건더기"""," ""국물만 마시지 말고 [건더기]도 먹어.""", '건데기'는 '건더기'의 잘못된 말이다.
54," ""건데기"""," ""건더기"""," ""라면에 [건더기]가 없으면 아쉽다.""", '건데기'는 '건더기'의 잘못된 말이다.
55," ""건들여선"""," ""건드려선"""," ""그건 [건드려선] 안 되는 주제야.""", ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
56," ""건들였다"""," ""건드렸다"""," ""지나가는 사람의 화를 괜히 [건드렸다].""", ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
57," ""건들이다가"""," ""건드리다가"""," ""조심성 없이 기계장치를 자꾸 [건드리다가] 고장 내고 말았다.""", ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
58," ""건들면"""," ""건드리면"""," ""너무 민감한 주제라 [건드리면] 안 돼.""", ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
59," ""건들이지"""," ""건드리지"""," ""책상 위 물건을 [건드리지] 말라고 했잖아.""", ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
60," ""건들지"""," ""건드리지"""," ""고양이를 [건드리지] 마라니깐!""", ‘건드리다’는 동사로 “손으로 만지거나 무엇으로 대다”라는 뜻이다
61," ""겉잡기"""," ""걷잡기"""," ""일의 진행 상황을 [걷잡기] 어려웠다."""," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
62," ""겉잡을"""," ""걷잡을"""," ""사태를 [걷잡을] 수 없게 되었다."""," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
63," ""겉잡을"""," ""걷잡을"""," ""그 사건 이후로 상황이 [걷잡을] 수 없이 악화되었다."""," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
64," ""걸맞는"""," ""걸맞은"""," ""그에게는 공무원이 [걸맞은] 직업이다."""," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
65," ""걸맞는"""," ""걸맞은"""," ""그 드레스는 파티에 [걸맞은] 스타일이지 않다."""," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
66," ""걸맞는"""," ""걸맞은"""," ""이 차는 그의 새로운 이미지에 [걸맞은] 차다."""," ‘겉잡다’는 ‘겉으로 보고 대강 짐작하여 헤아리다. ’라는 뜻이고, ‘걷잡다’는 ‘한 방향으로 치우쳐 흘러가는 형세 따위를 붙들어 잡다. ’라는 뜻이다."
67," ""게제되었어"""," ""게재되었어"""," ""이 자료는 오늘 신문에 [게재되었어]."""," '게재하다'는 글이나 그림 따위를 신문이나 잡지 따위에 실음을 뜻하는 말로, '게제하다'라는 단어는 없다."
68," ""게제될"""," ""게재될"""," ""다음 주에 잡지에 저의 이야기가 [게재될] 예정입니다."""," '게재하다'는 글이나 그림 따위를 신문이나 잡지 따위에 실음을 뜻하는 말로, '게제하다'라는 단어는 없다."
69," ""게제하는"""," ""게재하는"""," ""그는 자신의 작품을 소셜미디어에 [게재하는] 것을 주저하지 않았다."""," '게재하다'는 글이나 그림 따위를 신문이나 잡지 따위에 실음을 뜻하는 말로, '게제하다'라는 단어는 없다."
70," ""결제"""," ""결재"""," ""전달받은 서류의 [결재]를 빠르게 처리해주세요."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
71," ""결제"""," ""결재"""," ""[결재] 서류가 마지막 단계에 도달했습니다."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
72," ""결제"""," ""결재"""," ""[결재]를 마치고 내 계좌를 확인했다."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
73," ""결제"""," ""결재"""," ""이번 프로젝트에 대한 [결재]를 진행합시다."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
74," ""결제"""," ""결재"""," ""매니저의 [결재]를 받아야 진행할 수 있습니다."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
75," ""결재"""," ""결제"""," ""[결제]하려 한다."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
76," ""결재"""," ""결제"""," ""온라인 쇼핑몰에서 제품을 [결제]했다."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
77," ""결재"""," ""결제"""," ""이 카드로 [결제]를 완료해주세요."""," 결재는 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함이라는 뜻이고, 결제는 증권 또는 대금을 주고받아 매매 당사자 사이의 거래 관계를 끝맺는 일이다."
78," ""겨땀"""," ""곁땀"""," ""여름엔 [곁땀]이 많이 나서 불편해."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
79," ""겨땀"""," ""곁땀"""," ""더운 날씨 때문에 [곁땀]이 줄줄 흐른다."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
80," ""겨땀"""," ""곁땀"""," ""운동 후에는 [곁땀]이 심하게 나서 갈아입어야 했다."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
81," ""겨땀"""," ""곁땀"""," ""방에서 [곁땀]이 너무 나서 불편해."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
82," ""겨땀"""," ""곁땀"""," ""난 여름철 [곁땀] 때문에 힘들어."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
83," ""겨땀"""," ""곁땀"""," ""운동 후에 [곁땀]이 많이 났어."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
84," ""겨땀"""," ""곁땀"""," ""불쾌한 냄새는 전형적인 [곁땀] 때문이야."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
85," ""겨땀"""," ""곁땀"""," ""운동할 때마다 [곁땀] 때문에 불편해."""," '겨드랑이'와 '땀'이 합쳐진 말로, 겨드랑이에서 나는 땀을 속되게 이르는 말이다. 표준어는 '곁땀'이다."
86," ""고냉지"""," ""고랭지"""," ""이 지역은 [고랭지] 농업에 적합한 기후를 가지고 있다.""", '고랭지'는 해발 고도가 높은 지역에서 재배한 채소나 과일 따위를 이르는 말이다.
87," ""고냉지"""," ""고랭지"""," ""우리 가족은 [고랭지]에서 재배된 배추를 구입했다.""", '고랭지'는 해발 고도가 높은 지역에서 재배한 채소나 과일 따위를 이르는 말이다.
88," ""고냉지"""," ""고랭지"""," ""이곳은 [고랭지]의 조건을 잘 활용하고 있다.""", '고랭지'는 해발 고도가 높은 지역에서 재배한 채소나 과일 따위를 이르는 말이다.
89," ""곰곰히"""," ""곰곰이"""," ""항상 [곰곰이] 생각해보고 결정을 내려야 해.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
90," ""곰곰히"""," ""곰곰이"""," ""그 문제를 [곰곰이] 분석해 보았다.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
91," ""곰곰히"""," ""곰곰이"""," ""그녀는 과거를 [곰곰이] 되짚어보았다.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
92," ""곰곰히"""," ""곰곰이"""," ""그는 항상 [곰곰이] 생각한다.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
93," ""곰곰히"""," ""곰곰이"""," ""그 일을 [곰곰이] 생각해 봐.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
94," ""곰곰히"""," ""곰곰이"""," ""[곰곰이] 고민하고 나서 답을 내리자.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
95," ""곰곰히"""," ""곰곰이"""," ""문제를 [곰곰이] 분석해보면 답이 나올 거야.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
96," ""곰곰히"""," ""곰곰이"""," ""회사를 [곰곰이] 분석하여 전략을 세웠다.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
97," ""곰곰히"""," ""곰곰이"""," ""그녀는 [곰곰이] 생각에 잠겼다.""", 부사 '곰곰'에 접미사 '-이'가 결합한 말이므로 '곰곰이'와 같이 적습니다.
98," ""곱배기"""," ""곱빼기"""," ""[곱빼기]로 주문하니 양이 많았어.""", '곱빼기'는 명사로 두 그릇의 몫이라는 뜻이다.
99," ""곱배기"""," ""곱빼기"""," ""불고기를 [곱빼기]로 주세요.""", '곱빼기'는 명사로 두 그릇의 몫이라는 뜻이다.
100," ""곱배기"""," ""곱빼기"""," ""면을 [곱빼기]로 먹었더니 배가 너무 불러.""", '곱빼기'는 명사로 두 그릇의 몫이라는 뜻이다.
101," ""공기밥"""," ""공깃밥"""," ""식사를 할 때 [공깃밥]이 부족하면 말씀해 주세요.""", '공기'와 '밥'이 결합한 합성어로 사이시옷 규정에 따라 앞말인 '공'과 뒷말인 '기'가 합쳐져 [꽁]으로 발음되므로 사잇소리 현상이다. 따라서 표기할 때는 사이시옷을 받쳐 적어 '공깃밥'이라고 해야 한다.
102," ""공기밥"""," ""공깃밥"""," ""고기와 함께 나오는 [공깃밥] 양이 적어서 아쉬웠다.""", '공기'와 '밥'이 결합한 합성어로 사이시옷 규정에 따라 앞말인 '공'과 뒷말인 '기'가 합쳐져 [꽁]으로 발음되므로 사잇소리 현상이다. 따라서 표기할 때는 사이시옷을 받쳐 적어 '공깃밥'이라고 해야 한다.
103," ""공기밥"""," ""공깃밥"""," ""햇반 대신에 [공깃밥]을 추가할 수 있나요?""", '공기'와 '밥'이 결합한 합성어로 사이시옷 규정에 따라 앞말인 '공'과 뒷말인 '기'가 합쳐져 [꽁]으로 발음되므로 사잇소리 현상이다. 따라서 표기할 때는 사이시옷을 받쳐 적어 '공깃밥'이라고 해야 한다.
104," ""공정율"""," ""공정률"""," ""프로젝트의 [공정률]이 70%에 도달했다."""," ‘공정률’은 한자어와 고유어가 결합한 합성어로, 앞말이 모음으로 끝나고 뒷말의 첫소리가 된소리(?, ?, ?, ?, ?)나 거센소리(?, ?, ?, ?)일 때는 사이시옷을 받치어 적는다."
105," ""공정율"""," ""공정률"""," ""[공정률]을 높이기 위한 방안이 논의 중이다."""," ‘공정률’은 한자어와 고유어가 결합한 합성어로, 앞말이 모음으로 끝나고 뒷말의 첫소리가 된소리(?, ?, ?, ?, ?)나 거센소리(?, ?, ?, ?)일 때는 사이시옷을 받치어 적는다."
106," ""공정율"""," ""공정률"""," ""이번 달 [공정률]이 목표에 미치지 못했다."""," ‘공정률’은 한자어와 고유어가 결합한 합성어로, 앞말이 모음으로 끝나고 뒷말의 첫소리가 된소리(?, ?, ?, ?, ?)나 거센소리(?, ?, ?, ?)일 때는 사이시옷을 받치어 적는다."
107," ""구렛나루"""," ""구레나룻"""," ""머리를 덮고 있는 [구레나룻]이 멋져 보였어."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
108," ""구렛나루"""," ""구레나룻"""," ""면도 후에도 [구레나룻]이 너무 빨리 자라."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
109," ""구렛나루"""," ""구레나룻"""," ""[구레나룻]이 없는 얼굴은 낯설어."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
110," ""구렛나루"""," ""구레나룻"""," ""고양이의 [구레나룻]이 매우 길었다."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
111," ""구렛나루"""," ""구레나룻"""," ""그 남자의 [구레나룻]은 얼굴 윤곽을 감싸주었다."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
112," ""구렛나루"""," ""구레나룻"""," ""그는 [구레나룻]을 깔끔하게 정리했다."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
113," ""구렛나루"""," ""구레나룻"""," ""그 배우는 [구레나룻] 덕분에 인상이 강렬하다."""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
114," ""구렛나루"""," ""구레나룻"""," ""[구레나룻]이 길게 자라면 어떻게 해야 할까요?"""," '구레나룻'은 귀밑에서 턱까지 잇따라 난 수염을 뜻하는 말로, 고유어이다."
115," ""궁시렁거렸다"""," ""구시렁거렸다"""," ""아이들이 숙제를 하면서 계속 [구시렁거렸다].""", '구시렁거리다'는 못마땅하여 군소리를 듣기 싫도록 자꾸 하다라는 뜻이다.
